sample_id;city;site_id;time;median_income;median_income_bracket ;vegetation_index_NDVI_landsat;veg_index_bracket ;population_density;population_density_index;mean_wind_speed;wind_speed_mean_(km/h)_1;wind_speed_mean_(km/h)_2;wind_speed_mean_(km/h)_3;mean_temperature;temperature_(°C)_1;temperature_(°C)_2;temperature_(°C)_3;mean_relative_humidity;relative_humidity_(%)_1;relative_humidity_(%)_2;relative_humidity_(%)_3;time_beginning;time_end;date;latitude;longitude;bacterial_load;log_bacterial_load;fungal_load;log_fungal_load;control
22-S-SHER-SH06;Sherbrooke;SH06;Spring;77824;3;0.282550177;1;2201.431173;1;4.2;5.5;3.5;3.6;25.3;24.7;24.8;26.4;11.4;11.6;13.5;9.1;13:47:00;14:47:00;2022-05-09;45.4054518;-71.9242475;3.43E+05;5.54E+00;7.98E-20;-19.09783006;FALSE
22-S-SHER-SH07;Sherbrooke;SH07;Spring;22208;1;0.368156765;2;892.5409209;1;3.73;3.4;5.3;2.5;18.1;17.9;17.6;18.7;20.4;20.7;21.2;19.4;8:35:00;9:35:00;2022-05-09;45.3798085;-71.9277898;5.78E+01;1.76E+00;5.61E-08;-7.250669576;FALSE
22-S-SHER-SH08;Sherbrooke;SH08;Spring;22208;1;0.311254908;2;830.1521832;1;8.7;9.1;11.4;5.6;26.1;27.3;25.2;25.7;9.4;10.9;11.3;6;15:29:00;16:29:00;2022-05-09;45.381245;-71.923329;2.16E+05;5.33E+00;5.66E-17;-16.24688749;FALSE
22-S-SHER-SH09;Sherbrooke;SH09;Spring;20320;1;0.317060697;2;4205.510216;2;5.3;5.8;4.6;5.5;20.1;17.5;21.9;20.8;16.9;17.1;17.2;16.4;10:15:00;11:15:00;2022-05-09;45.3902926;-71.893326;3.47E+04;4.54E+00;0.002641396;-2.578166484;FALSE
22-S-SHER-SH10;Sherbrooke;SH10;Spring;41408;2;0.320380294;2;2466.264998;1;2.07;3.1;0;3.1;23.1;24.1;23.1;22;17.2;17.7;15.8;18.2;12:07:00;13:07:00;2022-05-09;45.3825509;-71.8866171;4.85E+05;5.69E+00;8.18E-17;-16.08725201;FALSE
22-S-SHER-SH11;Sherbrooke;SH11;Spring;31168;1;0.33124766;2;3050.681949;2;0.83;0;2.5;0;32.6;29.5;32.5;35.7;14.8;14.9;12.1;17.4;13:45:00;14:45:00;2022-05-10;45.4109146;-71.8780957;3.33E+03;3.52E+00;1.74E+23;23.24034953;FALSE
22-S-SHER-SH12;Sherbrooke;SH12;Spring;42368;2;0.393993461;2;2633.059379;1;2.77;2.3;3.9;2.1;23.9;23.3;22.4;25.9;18.7;19.8;18.3;18.1;10:40:00;11:40:00;2022-05-11;45.4188;-71.859799;2.08E+05;5.32E+00;1.28E-15;-14.89146542;FALSE
22-S-SHER-SH13;Sherbrooke;SH13;Spring;81493;3;0.515297584;3;1340.721241;1;3.37;1.5;4.9;3.7;27.4;27.6;27.1;27.4;15.2;13.2;15.7;16.7;12:30:00;13:30:00;2022-05-11;45.4058712;-71.8449875;3.93E+05;5.59E+00;1.09E-17;-16.9635947;FALSE
22-S-SHER-SH14;Sherbrooke;SH14;Spring;102912;4;0.296719559;2;1292.338138;1;1.2;0;2.3;1.3;28.8;28.5;28.9;28.9;15.8;16.7;18.7;12.1;13:57:00;14:57:00;2022-05-11;45.4007907;-71.8359686;3.92E+05;5.59E+00;3.07E-15;-14.51355819;FALSE
22-S-SHER-SH15;Sherbrooke;SH15;Spring;74496;3;0.624556728;3;823.7859854;1;5.03;8.3;2.1;4.7;29.2;28.9;29.7;29.1;12.8;13.3;14.3;10.7;15:29:00;16:29:00;2022-05-11;45.4063676;-71.8172484;8.32E+04;4.92E+00;3.98E-07;-6.399762435;FALSE
